1,3M,ELHFLL,,CAR-USA,2023-06,ADD,0.7,1.1,0.4,46,75,29.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,EYWFLL,,USA-USA,2023-06,ADD,0.3,0.7,0.4,15,42,27.0,1.8,2023-02-26,2023-03-05,2.0
1,3M,EYWMCO,,USA-USA,2023-06,ADD,1.6,1.7,0.1,74,80,6.0,0.1,2023-02-26,2023-03-05,2.0
1,3M,EYWTPA,,USA-USA,2023-06,ADD,1.4,2,0.6,66,92,26.0,0.4,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-06,ADD,0.3,0.4,0.2,15,27,12.0,0.8,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-06,ADD,0.9,1.1,0.3,61,79,18.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLMCO,,USA-USA,2023-06,ADD,1.4,1.6,0.2,95,110,15.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-06,ADD,0.6,1,0.4,32,63,31.0,1.0,2023-02-26,2023-03-05,2.0
1,3M,FLLSAV,,USA-USA,2023-06,ADD,0.3,0.6,0.3,21,40,19.0,0.9,2023-02-26,2023-03-05,2.0
1,3M,FLLTPA,,USA-USA,2023-06,ADD,0.5,1.3,0.8,23,64,41.0,1.8,2023-02-26,2023-03-05,2.0
1,3M,HSVMCO,,USA-USA,2023-06,ADD,0.5,0.7,0.2,34,49,15.0,0.4,2023-02-26,2023-03-05,2.0
1,3M,PNSTPA,,USA-USA,2023-06,ADD,1,1.3,0.2,48,58,10.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,TLHTPA,,USA-USA,2023-06,ADD,0.7,0.9,0.1,34,40,6.0,0.2,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-06,ADD,-,-,-,-,-,350.0,0.6,2023-02-26,2023-03-05,
1,3M,SAVTPA,,USA-USA,2023-07,NEW,0.0,0.3,0.3,0,13,13.0,1.0,2023-02-26,2023-03-05,1.0
1,3M,BIMFLL,,CAR-USA,2023-07,ADD,0.2,0.6,0.4,7,34,27.0,3.9,2023-02-26,2023-03-05,2.0
1,3M,CHSFLL,,USA-USA,2023-07,ADD,0.6,1,0.4,37,66,29.0,0.8,2023-02-26,2023-03-05,2.0
1,3M,CHSTPA,,USA-USA,2023-07,ADD,0.3,0.8,0.5,13,39,26.0,2.0,2023-02-26,2023-03-05,2.0
1,3M,ELHFLL,,CAR-USA,2023-07,ADD,0.7,1.2,0.4,49,78,29.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,EYWFLL,,USA-USA,2023-07,ADD,0.3,0.7,0.3,19,40,21.0,1.1,2023-02-26,2023-03-05,2.0
1,3M,EYWMCO,,USA-USA,2023-07,ADD,1.5,1.7,0.1,71,77,6.0,0.1,2023-02-26,2023-03-05,2.0
1,3M,EYWTPA,,USA-USA,2023-07,ADD,1.4,2,0.6,66,92,26.0,0.4,2023-02-26,2023-03-05,2.0
